t11,v11,c
25,3.6,175.51
24,3.6,175.85
25,3.6,175.4
24,3.6,175.51
25,3.6,175.38
25,3.6,175.07
25,3.6,175.74
25,3.6,175.38
25,3.6,175.72
25,3.6,175.53
25,3.6,175.62
24,3.6,175.3
25,3.6,175.28
25,3.6,175.38
25,3.6,175.51
25,3.6,175.74
24,3.6,175.49
25,3.6,175.7
25,3.6,175.81
25,3.6,175.38
25,3.6,175.4
25,3.6,175.51
25,3.6,175.21
25,3.6,175.72
25,3.6,175.72
25,3.6,175.51
25,3.6,175.95
25,3.6,175.62
24,3.6,175.64
25,3.6,175.17
25,3.6,175.93
25,3.6,175.74
25,3.6,175.3
25,3.6,175.38
25,3.6,175.64
25,3.6,175.4
25,3.6,175.95
24,3.6,175.28
25,3.6,175.51
24,3.6,175.72
24,3.6,175.62
24,3.6,175.74
24,3.6,175.95
24,3.6,175.7
24,3.6,175.51
24,3.6,175.62
24,3.6,175.64
24,3.6,175.64
24,3.6,175.83
24,3.6,175.07
25,3.6,175.21
24,3.6,175.95
24,3.6,175.59
24,3.6,175.95
24,3.6,175.74
24,3.6,176.08
24,3.6,176.06
24,3.6,175.17
24,3.6,175.38
24,3.6,175.64
24,3.6,175.62
24,3.6,175.64
24,3.6,175.4
24,3.6,175.85
24,3.6,175.32
24,3.6,175.09
24,3.6,175.64
24,3.6,175.19
24,3.6,175.72
24,3.6,175.93
24,3.6,175.62
24,3.6,175.51
24,3.6,175.53
24,3.6,175.51
24,3.6,175.83
24,3.6,175.32
24,3.6,175.83
24,3.6,175.51
24,3.6,175.83
24,3.6,176.06
24,3.6,175.85
24,3.6,175.85
24,3.6,175.62
24,3.6,175.98
24,3.6,175.72
24,3.6,175.95
24,3.6,175.51
24,3.6,175.74
24,3.6,175.38
24,3.6,175.49
24,3.6,175.72
24,3.6,175.51
24,3.6,175.51
24,3.6,175.85
24,3.6,175.62
24,3.6,175.74
24,3.6,175.85
24,3.6,175.81
24,3.6,175.74
24,3.6,175.4
24,3.6,175.17
24,3.6,175.64
24,3.6,176.04
24,3.6,176.17
24,3.6,175.93
24,3.6,175.3
24,3.6,176.27
24,3.6,176.19
24,3.6,175.74
24,3.6,175.74
24,3.6,175.95
24,3.6,175.59
24,3.6,176.15
23,3.6,175.4
24,3.6,175.95
24,3.6,175.28
23,3.6,175.66
24,3.6,175.62
24,3.6,176.06
23,3.6,175.51
24,3.6,175.74
24,3.6,175.07
23,3.6,176.08
24,3.6,175.51
23,3.6,176.04
24,3.6,175.95
24,3.6,175.87
24,3.6,175.72
24,3.6,175.83
24,3.6,176.29
24,3.6,175.83
24,3.6,176.04
24,3.6,175.85
24,3.6,175.95
24,3.6,176.17
24,3.6,176.29
23,3.6,175.93
24,3.6,175.83
24,3.6,176.06
23,3.6,176.04
24,3.6,175.95
24,3.6,175.72
24,3.6,176.17
24,3.6,175.62
23,3.6,175.72
24,3.6,175.95
24,3.6,175.74
23,3.6,175.62
24,3.6,176.06
23,3.6,175.72
24,3.6,175.74
24,3.6,176.19
23,3.6,175.93
23,3.6,175.72
23,3.6,175.51
24,3.6,176.27
24,3.6,175.98
23,3.6,176.42
24,3.6,175.74
24,3.6,176.27
24,3.6,175.95
24,3.6,176.06
24,3.6,176.08
23,3.6,176.06
23,3.6,176.17
23,3.6,175.74
23,3.6,176.42
23,3.6,176.4
24,3.6,175.74
24,3.6,176.42
24,3.6,175.64
24,3.6,176.08
23,3.6,176.4
24,3.6,176.64
24,3.6,176.27
24,3.6,175.85
23,3.6,176.0
23,3.6,175.74
23,3.6,175.55
23,3.6,175.72
23,3.6,175.74
23,3.5,176.06
24,3.6,176.36
23,3.6,176.06
23,3.6,175.98
24,3.6,176.17
24,3.6,175.95
23,3.6,176.04
23,3.6,176.19
24,3.6,175.95
23,3.6,176.29
24,3.6,175.53
23,3.6,176.29
23,3.6,175.51
24,3.6,175.3
23,3.6,176.51
23,3.6,175.83
23,3.6,176.17
23,3.6,175.53
24,3.6,176.08
23,3.6,175.95
23,3.6,175.74
24,3.6,175.98
24,3.6,176.29
23,3.6,175.95
24,3.6,175.64
24,3.6,175.72
23,3.6,176.06
23,3.6,176.27
23,3.6,175.83
23,3.6,176.19
23,3.6,176.27
23,3.6,176.08
23,3.6,175.87
24,3.6,175.85
23,3.6,175.95
23,3.6,176.4
24,3.6,176.49
23,3.6,176.64
23,3.6,176.08
23,3.6,176.49
23,3.6,175.87
23,3.6,175.72
24,3.6,176.27
23,3.6,175.85
23,3.6,175.85
24,3.6,176.1
23,3.6,175.72
24,3.6,176.32
23,3.6,176.17
24,3.6,176.29
23,3.6,175.83
23,3.6,176.27
23,3.6,175.83
23,3.6,176.51
23,3.6,176.38
24,3.6,176.4
23,3.6,175.87
23,3.6,176.19
23,3.6,176.61
23,3.6,175.83
23,3.6,176.15
23,3.6,175.93
23,3.5,175.95
24,3.6,175.83
23,3.6,175.87
23,3.6,176.19
